usernames,repo_name,stars,repo_url
localstack,localstack,47200,https://github.com/localstack/localstack
serverless,serverless,44800,https://github.com/serverless/serverless
bregman-arie,devops-exercises,43400,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,25100,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,16100,https://github.com/pulumi/pulumi
serverless-stack,sst,14800,https://github.com/serverless-stack/sst
kubernetes-sigs,kubespray,13900,https://github.com/kubernetes-sigs/kubespray
ramitsurana,awesome-kubernetes,13900,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,13800,https://github.com/aws/aws-cli
mozilla,sops,12900,https://github.com/mozilla/sops
donnemartin,awesome-aws,11500,https://github.com/donnemartin/awesome-aws
caprover,caprover,10400,https://github.com/caprover/caprover
aws,aws-cdk,10200,https://github.com/aws/aws-cdk
GoogleCloudPlatform,terraformer,10200,https://github.com/GoogleCloudPlatform/terraformer
apereo,cas,10100,https://github.com/apereo/cas
aws,chalice,9700,https://github.com/aws/chalice
aws-amplify,amplify-js,9200,https://github.com/aws-amplify/amplify-js
infracost,infracost,9100,https://github.com/infracost/infracost
google,go-cloud,9000,https://github.com/google/go-cloud
aws,serverless-application-model,9000,https://github.com/aws/serverless-application-model
