usernames,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,37200,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,24000,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,21200,https://github.com/refined-github/refined-github
darkreader,darkreader,16700,https://github.com/darkreader/darkreader
openai-translator,openai-translator,16100,https://github.com/openai-translator/openai-translator
checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
unbug,codelf,13600,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13100,https://github.com/wong2/chatgpt-google-extension
dailydotdev,daily,12900,https://github.com/dailydotdev/daily
gildas-lormeau,SingleFile,11200,https://github.com/gildas-lormeau/SingleFile
Anarios,return-youtube-dislike,11200,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,10800,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10100,https://github.com/listen1/listen1_chrome_extension
alyssaxuu,screenity,8200,https://github.com/alyssaxuu/screenity
appbaseio,dejavu,8100,https://github.com/appbaseio/dejavu
josStorer,chatGPTBox,7700,https://github.com/josStorer/chatGPTBox
Kenshin,simpread,7200,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,7000,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,6900,https://github.com/AutomaApp/automa
alyssaxuu,omni,6300,https://github.com/alyssaxuu/omni
